course_id,course_name,status
5414,"LP: DISINFECTION, NONCRITICAL PATIENT CARE EQUIPMENT",FAIL- No item to select
5415,"LP: DISINFECTION, NONCRITICAL PATIENT CARE EQUIPMENT, AMBULATORY CARE",FAIL- No item to select
5416,"LP: DISINFECTION, NONCRITICAL PATIENT CARE EQUIPMENT, RESPIRATORY THERAPY",FAIL- No item to select
5417,"LP: DISINFECTION, SEMICRITICAL PATIENT CARE EQUIPMENT",FAIL- No item to select
5418,"LP: DISINFECTION, SEMICRITICAL PATIENT CARE EQUIPMENT, AMBULATORY CARE",FAIL- No item to select
5419,"LP: DISINFECTION, SEMICRITICAL PATIENT CARE EQUIPMENT, RESPIRATORY THERAPY",FAIL- No item to select
5420,"LP: DISSEMINATED INTRAVASCULAR COAGULATION (DIC) PATIENT CARE, PREGNANT PATIENT",SUCCESS
5421,"LP: RESPIRATORY ASSESSMENT, HOME CARE",FAIL- No item to select
5422,"LP: DISSEMINATED INTRAVASCULAR COAGULATION (DIC), EMERGENCY PATIENT CARE",FAIL- No item to select
5423,LP: DOCUMENTATION,SUCCESS
5424,"LP: DOCUMENTATION, LONG-TERM CARE",FAIL- No item to select
5425,"LP: DOCUMENTATION, PHYSICAL THERAPY",FAIL- No item to select
5426,LP: DOPPLER ULTRASOUND DEVICE USE,SUCCESS
5427,"LP: DRAIN REMOVAL, SURGICAL",FAIL- No item to select
5428,LP: DRAPING FOR ABDOMINAL SURGERY,FAIL- No item to select
5429,LP: DRAPING FOR BARIATRIC SURGERY,FAIL- No item to select
5430,LP: DRAPING FOR BRAIN OR CRANIAL SURGERY,FAIL- No item to select
5431,LP: DRAPING FOR CARDIAC SURGERY,FAIL- No item to select
5432,"LP: SCABIES MANAGEMENT, HOME CARE",FAIL- No item to select
5433,LP: DRAPING FOR EAR SURGERY,FAIL- No item to select
5434,LP: DRAPING FOR GYNECOLOGIC SURGERY,FAIL- No item to select
5435,LP: DRAPING FOR NASAL SURGERY,FAIL- No item to select
5436,LP: DRAPING FOR OPHTHALMIC SURGERY,FAIL- No item to select
5437,LP: DRAPING FOR RECONSTRUCTIVE SURGERY,FAIL- No item to select
5438,LP: DRAPING FOR THORACIC SURGERY,FAIL- No item to select
5439,LP: DRAPING FOR THROAT SURGERY,FAIL- No item to select
5440,LP: DRAPING FOR TOTAL JOINT SURGERY,FAIL- No item to select
5441,LP: DRAPING FOR TRANSPLANT SURGERY,FAIL- No item to select
5442,LP: DRAPING FOR TRAUMA SURGERY,FAIL- No item to select
5443,"LP: SELF-CATHETERIZATION, FEMALE, HOME CARE",FAIL- No item to select
5444,LP: DRAPING FOR UROLOGIC SURGERY,FAIL- No item to select
5445,LP: DRAPING THE MAYO STAND,FAIL- No item to select
5446,LP: DROPLET PRECAUTIONS,SUCCESS
5447,LP: DRUG AND ALCOHOL SPECIMEN COLLECTION,FAIL- No item to select
5448,"LP: DRUG THERAPY, OLDER ADULTS",SUCCESS
5449,"LP: DRUG THERAPY, OLDER ADULTS, LONG-TERM CARE",FAIL- No item to select
5450,LP: DRY POWDER INHALER USE,SUCCESS
5451,"LP: DRYING HANDS AND ARMS, OR",FAIL- No item to select
5452,LP: DUTY TO WARN THIRD PARTIES OF A THREAT,SUCCESS
5453,LP: DYING PATIENT CARE,SUCCESS
5454,"LP: SELF-CATHETERIZATION, MALE, HOME CARE",FAIL- No item to select
5455,"LP: DYING RESIDENT CARE, LONG-TERM CARE",FAIL- No item to select
5456,"LP: DYSPNEA ASSESSMENT, RESPIRATORY THERAPY",FAIL- No item to select
5457,"LP: DYSPNEA MANAGEMENT, RESPIRATORY THERAPY",FAIL- No item to select
5458,LP: EAR IRRIGATION FOR FOREIGN BODY OR DISCHARGE REMOVAL,SUCCESS
5459,"LP: EAR IRRIGATION FOR FOREIGN BODY OR DISCHARGE REMOVAL, PEDIATRIC",SUCCESS
5460,"LP: EAR WICK INSERTION, ASSISTING, PEDIATRIC",FAIL- No item to select
5461,LP: EARDROP INSTILLATION,SUCCESS
5462,"LP: EARDROP INSTILLATION, PEDIATRIC",SUCCESS
5463,LP: ECTOPIC PREGNANCY PATIENT CARE,SUCCESS
5464,LP: ELASTIC COMPRESSION BANDAGE APPLICATION,SUCCESS
5465,"LP: SPUTUM COLLECTION BY EXPECTORATION, HOME CARE",FAIL- No item to select
5466,LP: ELASTOMERIC PUMP USE,FAIL- No item to select
5467,"LP: ELECTRICAL STIMULATION, PHYSICAL THERAPY",FAIL- No item to select
5468,"LP: ELECTROCARDIOGRAM (ECG), POSTERIOR CHEST LEAD",SUCCESS
5469,"LP: ELECTROCARDIOGRAM (ECG), RIGHT CHEST LEAD",SUCCESS
5470,"LP: ELECTROCARDIOGRAM (ECG), SIGNAL AVERAGED",SUCCESS
5471,LP: ELECTROCONVULSIVE THERAPY,SUCCESS
5472,"LP: ELECTROSURGICAL UNIT (ESU) USE, OR",FAIL- No item to select
5473,LP: ELOPEMENT MONITORING,SUCCESS
5474,"LP: ELOPEMENT PRECAUTIONS, LONG-TERM CARE",FAIL- No item to select
5475,LP: ELOPEMENT RESPONSE,FAIL- No item to select
5476,"LP: SPUTUM COLLECTION BY TRACHEAL SUCTIONING, HOME CARE",FAIL- No item to select
5477,LP: EMERGENCY DELIVERY,SUCCESS
5478,"LP: EMERGENCY MEDICATION ADMINISTRATION, PEDIATRIC",FAIL- No item to select
5479,LP: EMERGENCY PSYCHOTROPIC DRUG ADMINISTRATION,SUCCESS
5480,LP: EMERGENCY VAGINAL DELIVERY (ADVANCED PRACTICE),FAIL- No item to select
5481,"LP: EMPTYING AND CLEANING A STOMA POUCH, PEDIATRIC",SUCCESS
5482,"LP: END-OF-LIFE CARE, LONG-TERM CARE",FAIL- No item to select
5483,LP: END-TIDAL CARBON DIOXIDE (ETCO2) MONITORING,SUCCESS
