nl_course_id,docebo_id,docebo_code,Test_ID,Ques_ID,sequence,question_text,QuesAns_ID,answer_sequence,answer_text,correct
19400,1018,Elearning-0000-171,n13478,n60254,0,Quality requires the efforts and participation of everyone in the healthcare facility.,n200021,0,TRUE,1
19400,1018,Elearning-0000-171,n13478,n60254,1,Quality requires the efforts and participation of everyone in the healthcare facility.,n200022,1,FALSE,0
19400,1018,Elearning-0000-171,n13478,n60255,0,A failure mode and effects analysis tried to predict failures before they occur.,n200023,0,TRUE,1
19400,1018,Elearning-0000-171,n13478,n60255,1,A failure mode and effects analysis tried to predict failures before they occur.,n200024,1,FALSE,0
19400,1018,Elearning-0000-171,n13478,n60256,0,The International Standards Organization uses routine and unannounced inspections to monitor standards in healthcare facilities.,n200025,0,TRUE,0
19400,1018,Elearning-0000-171,n13478,n60256,1,The International Standards Organization uses routine and unannounced inspections to monitor standards in healthcare facilities.,n200026,1,FALSE,1
19400,1018,Elearning-0000-171,n13478,n60257,0,Quality processes are limited to administration and the risk management department.,n200027,0,TRUE,0
19400,1018,Elearning-0000-171,n13478,n60257,1,Quality processes are limited to administration and the risk management department.,n200028,1,FALSE,1
19400,1018,Elearning-0000-171,n13478,n60258,0,Quality management is patient focused.,n200029,0,TRUE,1
19400,1018,Elearning-0000-171,n13478,n60258,1,Quality management is patient focused.,n200030,1,FALSE,0
19400,1018,Elearning-0000-171,n13478,n60259,0,Providing quality products and services directly impacts patient outcomes.,n200031,0,TRUE,1
19400,1018,Elearning-0000-171,n13478,n60259,1,Providing quality products and services directly impacts patient outcomes.,n200032,1,FALSE,0
19400,1018,Elearning-0000-171,n13478,n60260,0,Customer surveys are ineffective tools in establishing Central Service quality processes.,n200033,0,TRUE,0
19400,1018,Elearning-0000-171,n13478,n60260,1,Customer surveys are ineffective tools in establishing Central Service quality processes.,n200034,1,FALSE,1
19400,1018,Elearning-0000-171,n13478,n60261,0,"If everyone develops a quality-driven focus, written policies and procedures are not necessary in the Central Service department.",n200035,0,TRUE,0
19400,1018,Elearning-0000-171,n13478,n60261,1,"If everyone develops a quality-driven focus, written policies and procedures are not necessary in the Central Service department.",n200036,1,FALSE,1
19400,1018,Elearning-0000-171,n13478,n60262,0,A root cause analysis is a proactive approach to quality.,n200037,0,TRUE,0
19400,1018,Elearning-0000-171,n13478,n60262,1,A root cause analysis is a proactive approach to quality.,n200038,1,FALSE,1
19400,1018,Elearning-0000-171,n13478,n60263,0,Not following established policies and procedures will result in a lower quality program.,n200039,0,TRUE,1
19400,1018,Elearning-0000-171,n13478,n60263,1,Not following established policies and procedures will result in a lower quality program.,n200040,1,FALSE,0
19398,1029,Elearning-0000-172,n13475,n60217,0,Formal training should occur,n199877,0,"a.	For new employees",0
19398,1029,Elearning-0000-172,n13475,n60217,1,Formal training should occur,n199878,1,"b.	At least monthly",0
19398,1029,Elearning-0000-172,n13475,n60217,2,Formal training should occur,n199879,2,"c.	For employees who move to a new positions",0
19398,1029,Elearning-0000-172,n13475,n60217,3,Formal training should occur,n199880,3,"d.	For new employees and those who move to new position",1
19398,1029,Elearning-0000-172,n13475,n60218,0,Monitoring records must be,n199881,0,"a.	Accurate",0
19398,1029,Elearning-0000-172,n13475,n60218,1,Monitoring records must be,n199882,1,"b.	Legible",0
19398,1029,Elearning-0000-172,n13475,n60218,2,Monitoring records must be,n199883,2,"c.	Complete",0
19398,1029,Elearning-0000-172,n13475,n60218,3,Monitoring records must be,n199884,3,"d.	All the above",1
19398,1029,Elearning-0000-172,n13475,n60219,0,Sterilizer load records should contain,n199885,0,"a.	Items and quantity sterilized",1
19398,1029,Elearning-0000-172,n13475,n60219,1,Sterilizer load records should contain,n199886,1,"b.	Type of packaging used in the load",0
19398,1029,Elearning-0000-172,n13475,n60219,2,Sterilizer load records should contain,n199887,2,"c.	Preventative maintenance dates",0
19398,1029,Elearning-0000-172,n13475,n60219,3,Sterilizer load records should contain,n199888,3,"d.	All the above",0
19398,1029,Elearning-0000-172,n13475,n60220,0,External indicators can prove an item is sterile when the sterilization cycle is complete,n199889,0,TRUE,0
19398,1029,Elearning-0000-172,n13475,n60220,1,External indicators can prove an item is sterile when the sterilization cycle is complete,n199890,1,FALSE,1
19398,1029,Elearning-0000-172,n13475,n60221,0,Temperature and humidity levels need to be monitored and recorded,n199891,0,"a.	Weekly, preferably daily",0
19398,1029,Elearning-0000-172,n13475,n60221,1,Temperature and humidity levels need to be monitored and recorded,n199892,1,"b.	For each shift",0
19398,1029,Elearning-0000-172,n13475,n60221,2,Temperature and humidity levels need to be monitored and recorded,n199893,2,"c.	At least daily",1
19398,1029,Elearning-0000-172,n13475,n60221,3,Temperature and humidity levels need to be monitored and recorded,n199894,3,"d.	At least monthly",0
19398,1029,Elearning-0000-172,n13475,n60222,0,The U.S. Food and Drug Administration Class II chemical indicator that is run daily in dynamic air removal sterilizers is called a,n199895,0,"a.	Process challenge device",0
19398,1029,Elearning-0000-172,n13475,n60222,1,The U.S. Food and Drug Administration Class II chemical indicator that is run daily in dynamic air removal sterilizers is called a,n199896,1,"b.	External chemical indicator",0
