nl_id,docebo_id,docebo_code,newTest_ID,newQues_ID,sequence,question_text,newQuesAns_ID,answer_sequence,answer_text,correct,course_name
15392,9533,Elearning-0000-761,g9683,g49249,0,"Which of the following treatments can be used for C. diff initial episodes, severe and non-severe?",g161205,0,"a.	Vancomycin 125mg po QID x 10 days",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49249,1,"Which of the following treatments can be used for C. diff initial episodes, severe and non-severe?",g161206,1,"b.	Fidaxomicin 200mg po BID x 10 days",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49249,2,"Which of the following treatments can be used for C. diff initial episodes, severe and non-severe?",g161207,2,"c.	Metronidazole 500mg po TID x 10 days",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49249,3,"Which of the following treatments can be used for C. diff initial episodes, severe and non-severe?",g161208,3,"d.	A and B",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49249,4,"Which of the following treatments can be used for C. diff initial episodes, severe and non-severe?",g161209,4,"e.	All of the above",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49250,0,Which of the following treatments may be used for fulminant C. diff?,g161210,0,"a.	Vancomycin 500mg PO/Per tube QID",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49250,1,Which of the following treatments may be used for fulminant C. diff?,g161211,1,"b.	Metronidazole 500mg IV Q8H",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49250,2,Which of the following treatments may be used for fulminant C. diff?,g161212,2,"c.	If ileus, consider Vancomycin enemas",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49250,3,Which of the following treatments may be used for fulminant C. diff?,g161213,3,"d.	All of the above are appropriate in fulminant C. diff",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49251,0,What are some risk factors for patients to acquire C. diff?,g161214,0,"a.	Antibiotic exposure",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49251,1,What are some risk factors for patients to acquire C. diff?,g161215,1,"b.	Extended stays in healthcare settings",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49251,2,What are some risk factors for patients to acquire C. diff?,g161216,2,"c.	Any manipulation of the GI tract including bowel prep and tube feedings",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49251,3,What are some risk factors for patients to acquire C. diff?,g161217,3,"d.	All of the above",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49252,0,Which of the following patients are appropriate to test for C. diff?,g161218,0,"a.	54 year old female with history of C. diff with no diarrhea who wants her stool tested to see if she is cured of C. diff.",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49252,1,Which of the following patients are appropriate to test for C. diff?,g161219,1,"b.	38 year old male admitted with abdominal pain, liquid diarrhea 10 times per day, WBCs = 15,000, and recently took augmentin 2 months ago for a sinus infection.",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49252,2,Which of the following patients are appropriate to test for C. diff?,g161220,2,"c.	ICU patient from the VA who hasnΓÇÖt had a BM in 7 days is given Relistor and has massive stool that smells like C. diff.",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49252,3,Which of the following patients are appropriate to test for C. diff?,g161221,3,"d.	All of the above",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49253,0,Where can you find C. diff testing results in Cerner?,g161222,0,"a.	Microbiology viewer",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49253,1,Where can you find C. diff testing results in Cerner?,g161223,1,"b.	Form Browser",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49253,2,Where can you find C. diff testing results in Cerner?,g161224,2,"c.	Documentation",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49253,3,Where can you find C. diff testing results in Cerner?,g161225,3,"d.	Results Review>Lab extended>Microbiology PCR or Microbiology miscellaneous",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49254,0,What statement is true about Bezlotoxumab (Zinplava) administration at Northside Hospital?,g161226,0,"a.	Zinplava does not require an Infectious Disease Consult.",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49254,1,What statement is true about Bezlotoxumab (Zinplava) administration at Northside Hospital?,g161227,1,"b.	Zinplava requires an ID physician consult and must be reviewed by the ID pharmacist prior to administration.",1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49254,2,What statement is true about Bezlotoxumab (Zinplava) administration at Northside Hospital?,g161228,2,"c.	Zinplava is administered alone for the treatment of C. diff.",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49254,3,What statement is true about Bezlotoxumab (Zinplava) administration at Northside Hospital?,g161229,3,"d.	Zinplava must always be treated as a STAT medication.",0,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49255,0,"Northside hospital has a C. diff power plan in cerner to guide practitioners on the most appropriate C. diff treatment.  Pharmacists are consulted to discontinue all scheduled laxatives, stool softeners, anti-motility agents, and binding agents.",g161230,0,TRUE,1,FY20 PHARMACY C DIFF EDUCATION
15392,9533,Elearning-0000-761,g9683,g49255,1,"Northside hospital has a C. diff power plan in cerner to guide practitioners on the most appropriate C. diff treatment.  Pharmacists are consulted to discontinue all scheduled laxatives, stool softeners, anti-motility agents, and binding agents.",g161231,1,FALSE,0,FY20 PHARMACY C DIFF EDUCATION
15366,2544,ILT-0000-11945,g9674,g49176,0,The content was interesting to me.,g160915,0,1. Strongly Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49176,1,The content was interesting to me.,g160916,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49176,2,The content was interesting to me.,g160917,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49176,3,The content was interesting to me.,g160918,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49176,4,The content was interesting to me.,g160919,4,5 Strongly Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49177,0,The content expanded my knowledge of the topic.,g160920,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49177,1,The content expanded my knowledge of the topic.,g160921,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49177,2,The content expanded my knowledge of the topic.,g160922,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49177,3,The content expanded my knowledge of the topic.,g160923,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49177,4,The content expanded my knowledge of the topic.,g160924,4,5 Strongly agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49178,0,The content was consistent with the objectives.,g160925,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49178,1,The content was consistent with the objectives.,g160926,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49178,2,The content was consistent with the objectives.,g160927,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49178,3,The content was consistent with the objectives.,g160928,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49178,4,The content was consistent with the objectives.,g160929,4,5 Strongly agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49179,0,The content will help me do my job better.,g160930,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49179,1,The content will help me do my job better.,g160931,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49179,2,The content will help me do my job better.,g160932,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49179,3,The content will help me do my job better.,g160933,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49179,4,The content will help me do my job better.,g160934,4,5 Strongly agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49180,0,The room and environment was conducive to learning.,g160935,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49180,1,The room and environment was conducive to learning.,g160936,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49180,2,The room and environment was conducive to learning.,g160937,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49180,3,The room and environment was conducive to learning.,g160938,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49180,4,The room and environment was conducive to learning.,g160939,4,5 Strongly agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49181,0,Please rate instructor Brooke Wynn: The material presented was clear and to the point.,g160940,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49181,1,Please rate instructor Brooke Wynn: The material presented was clear and to the point.,g160941,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49181,2,Please rate instructor Brooke Wynn: The material presented was clear and to the point.,g160942,2,3 Neutral,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49181,3,Please rate instructor Brooke Wynn: The material presented was clear and to the point.,g160943,3,4 Agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49181,4,Please rate instructor Brooke Wynn: The material presented was clear and to the point.,g160944,4,5 Strongly agree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49182,0,Please rate instructor Brooke Wynn: The presenter demonstrated mastery of the topic.,g160945,0,1 Strongly disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
15366,2544,ILT-0000-11945,g9674,g49182,1,Please rate instructor Brooke Wynn: The presenter demonstrated mastery of the topic.,g160946,1,2 Disagree,0,LD RESIDENCY CLASS FIVE HIGH RISK TOPICS
