nl_course_id,docebo_id,docebo_code,Test_ID,Ques_ID,sequence,question_text,QuesAns_ID,answer_sequence,answer_text,correct
19550,2095,Questions-0000-61,n13602,n61134,0,Identify the rhythm,n203112,0,"a.	Agonal rhythm",0
19550,2095,Questions-0000-61,n13602,n61134,1,Identify the rhythm,n203115,1,"b.	Idioventricular rhythm",1
19550,2095,Questions-0000-61,n13602,n61134,2,Identify the rhythm,n203113,2,"c.	Junctional rhythm",0
19550,2095,Questions-0000-61,n13602,n61134,3,Identify the rhythm,n203114,3,"d.	Sinus Bradycardia with aberrant intraventricular conduction",0
19550,2095,Questions-0000-61,n13602,n61135,0,Identify the rhythm,n203116,0,"a.	Fine Ventricular fibrillation",0
19550,2095,Questions-0000-61,n13602,n61135,1,Identify the rhythm,n203117,1,"b.	Artifact",0
19550,2095,Questions-0000-61,n13602,n61135,2,Identify the rhythm,n203118,2,"c.	Ventricular standstill",0
19550,2095,Questions-0000-61,n13602,n61135,3,Identify the rhythm,n203119,3,"d.	Asystole",1
19550,2095,Questions-0000-61,n13602,n61136,0,Identify the rhythm,n203120,0,"a.	First degree heart block",0
19550,2095,Questions-0000-61,n13602,n61136,1,Identify the rhythm,n203121,1,"b.	Second degree heart block type I",0
19550,2095,Questions-0000-61,n13602,n61136,2,Identify the rhythm,n203122,2,"c.	Third degree heart block",0
19550,2095,Questions-0000-61,n13602,n61136,3,Identify the rhythm,n203123,3,"d.	Second degree heart block type II",1
19550,2095,Questions-0000-61,n13602,n61137,0,Identify the rhythm,n203127,0,"a.	Atrial flutter",1
19550,2095,Questions-0000-61,n13602,n61137,1,Identify the rhythm,n203124,1,"b.	Sinus rhythm with PAC's",0
19550,2095,Questions-0000-61,n13602,n61137,2,Identify the rhythm,n203125,2,"c.	Atrial fibrillation with rapid ventricular response",0
19550,2095,Questions-0000-61,n13602,n61137,3,Identify the rhythm,n203126,3,"d.	Sinus arrhythmia",0
19550,2095,Questions-0000-61,n13602,n61138,0,Identify the rhythm,n203128,0,"a.	Sinus tachycardia with aberrant intraventricular conduction",0
19550,2095,Questions-0000-61,n13602,n61138,1,Identify the rhythm,n203129,1,"b.	Junctional tachycardia",0
