course_id,course_code,course_name,test_id,ques_id,sequence,question_text,question_answer_id,answer_sequence,answer_text,correct
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59829,0,This low-level disinfectant is incompatible with soap,198497,0,"a.	Alcohol",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59829,0,This low-level disinfectant is incompatible with soap,198498,1,"b.	Phenol",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59829,0,This low-level disinfectant is incompatible with soap,198499,2,"c.	Quaternary ammonium compounds",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59829,0,This low-level disinfectant is incompatible with soap,198500,3,"d.	Ortho-phthalaldehyde",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59830,1,"When using glutaraldehyde, technicians should always wear latex gloves for protection",198501,0,TRUE,0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59830,1,"When using glutaraldehyde, technicians should always wear latex gloves for protection",198502,1,FALSE,1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59831,2,When using high-level disinfectants it is important to remember they may be deactivated by,198503,0,"a.	Alkylation",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59831,2,When using high-level disinfectants it is important to remember they may be deactivated by,198504,1,"b.	Organic matter",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59831,2,When using high-level disinfectants it is important to remember they may be deactivated by,198505,2,"c.	Oxidation",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59831,2,When using high-level disinfectants it is important to remember they may be deactivated by,198506,3,"d.	All the above",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59832,3,In an automated washer the key source of disinfection is,198507,0,"a.	Hydrogen peroxide",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59832,3,In an automated washer the key source of disinfection is,198508,1,"b.	Water temperature",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59832,3,In an automated washer the key source of disinfection is,198509,2,"c.	Heat",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59832,3,In an automated washer the key source of disinfection is,198510,3,"d.	Disinfecting detergent",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59833,4,The use of test strips to test the minimum effective concentration in high-level disinfection solutions is required,198511,0,"a.	Weekly, preferably daily",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59833,4,The use of test strips to test the minimum effective concentration in high-level disinfection solutions is required,198512,1,"b.	Daily",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59833,4,The use of test strips to test the minimum effective concentration in high-level disinfection solutions is required,198513,2,"c.	Each time the solution will be used",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59833,4,The use of test strips to test the minimum effective concentration in high-level disinfection solutions is required,198514,3,"d.	Only when manual soaking systems are used",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59834,5,"The use of heat to kill all microorganisms, except spores, is called",198515,0,"a.	Sterilization",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59834,5,"The use of heat to kill all microorganisms, except spores, is called",198516,1,"b.	Thermal disinfection",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59834,5,"The use of heat to kill all microorganisms, except spores, is called",198517,2,"c.	High-level disinfection",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59834,5,"The use of heat to kill all microorganisms, except spores, is called",198518,3,"d.	Mechanical disinfection",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59835,6,These chemicals are used on animate (living tissue) to slow the growth of microorganisms,198519,0,"a.	Glutaraldehydes",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59835,6,These chemicals are used on animate (living tissue) to slow the growth of microorganisms,198520,1,"b.	Disinfectants",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59835,6,These chemicals are used on animate (living tissue) to slow the growth of microorganisms,198521,2,"c.	Halogens",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59835,6,These chemicals are used on animate (living tissue) to slow the growth of microorganisms,198522,3,"d.	Antiseptics",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59836,7,Items that are introduced directly into the bloodstream or other normally sterile areas of the body are classified as,198523,0,"a.	Critical items",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59836,7,Items that are introduced directly into the bloodstream or other normally sterile areas of the body are classified as,198524,1,"b.	Semi-critical items",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59836,7,Items that are introduced directly into the bloodstream or other normally sterile areas of the body are classified as,198525,2,"c.	Non-critical items",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59836,7,Items that are introduced directly into the bloodstream or other normally sterile areas of the body are classified as,198526,3,"d.	Equipment",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59837,8,The process by which all forms of microorganisms are completely destroyed is,198527,0,"a.	High-level disinfection",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59837,8,The process by which all forms of microorganisms are completely destroyed is,198528,1,"b.	Thermal disinfection",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59837,8,The process by which all forms of microorganisms are completely destroyed is,198529,2,"c.	Sterilization",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59837,8,The process by which all forms of microorganisms are completely destroyed is,198530,3,"d.	Chemical disinfection",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59838,9,Iodophors are a member of this chemical family,198531,0,"a.	Halogens",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59838,9,Iodophors are a member of this chemical family,198532,1,"b.	Quaternary ammonium compounds",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59838,9,Iodophors are a member of this chemical family,198533,2,"c.	Alcohol",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59838,9,Iodophors are a member of this chemical family,198534,3,"d.	Phenolics",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59839,10,Phenolics are classified as,198535,0,"a.	Intermediate to low-level disinfectants",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59839,10,Phenolics are classified as,198536,1,"b.	Intermediate to high-level disinfectants",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59839,10,Phenolics are classified as,198537,2,"c.	High-level disinfectants",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59839,10,Phenolics are classified as,198538,3,"d.	Sterilants",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59840,11,Which of the following are classified as high-level disinfectants?,198539,0,"a.	Glutaraldehyde and phenolics",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59840,11,Which of the following are classified as high-level disinfectants?,198540,1,"b.	Glutaraldehyde and ortho-phthalaldehydes",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59840,11,Which of the following are classified as high-level disinfectants?,198541,2,"c.	Quaternary ammonium compounds and phenolics",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59840,11,Which of the following are classified as high-level disinfectants?,198542,3,"d.	Halogens and ortho-phthaladehydes",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59841,12,Thermal disinfection is accomplished using,198543,0,"a.	Heated chemicals",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59841,12,Thermal disinfection is accomplished using,198544,1,"b.	Heated glutaraldehyde",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59841,12,Thermal disinfection is accomplished using,198545,2,"c.	Prolonged high pressure steam",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59841,12,Thermal disinfection is accomplished using,198546,3,"d.	Heat",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59842,13,How long must alcohol remain in wet contact with an item to achieve a reasonable level of disinfection?,198547,0,"a.	One to two minutes",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59842,13,How long must alcohol remain in wet contact with an item to achieve a reasonable level of disinfection?,198548,1,"b.	Two to three minutes",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59842,13,How long must alcohol remain in wet contact with an item to achieve a reasonable level of disinfection?,198549,2,"c.	Five to 10 minutes",1
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59842,13,How long must alcohol remain in wet contact with an item to achieve a reasonable level of disinfection?,198550,3,"d.	10 to 20 minutes",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59843,14,Which if the following would be the best choice for high-level disinfection of instruments?,198551,0,"a.	Phenolics",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59843,14,Which if the following would be the best choice for high-level disinfection of instruments?,198552,1,"b.	Chlorine",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59843,14,Which if the following would be the best choice for high-level disinfection of instruments?,198553,2,"c.	Iodophors",0
8710,Elearning-0000-157,SPD INTERNSHIP CHAPTER 9 - DISINFECTION,n13407,59843,14,Which if the following would be the best choice for high-level disinfection of instruments?,198554,3,"d.	Ortho-phthalaldehydes",1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59844,0,Microgrind or supercut scissors are usually identified with a black handle.,198555,0,TRUE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59844,0,Microgrind or supercut scissors are usually identified with a black handle.,198556,1,FALSE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59845,1,Stainless steel jaw needle holders last longer than tungsten carbide jaw needle holders.,198557,0,TRUE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59845,1,Stainless steel jaw needle holders last longer than tungsten carbide jaw needle holders.,198558,1,FALSE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59846,2,The place where the two parts of a ring handled instrument meet and pivot is called the box lock.,198559,0,TRUE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59846,2,The place where the two parts of a ring handled instrument meet and pivot is called the box lock.,198560,1,FALSE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59847,3,Instruments are heat treated to give their surface a mirror (shiny) finish.,198561,0,TRUE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59847,3,Instruments are heat treated to give their surface a mirror (shiny) finish.,198562,1,FALSE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59848,4,Tissue forceps have teeth.,198563,0,TRUE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59848,4,Tissue forceps have teeth.,198564,1,FALSE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59849,5,During instruments manufacturer the process of passivation helps build a protective chromium oxide layer on each instrument's surface.,198565,0,TRUE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59849,5,During instruments manufacturer the process of passivation helps build a protective chromium oxide layer on each instrument's surface.,198566,1,FALSE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59850,6,The part of a hemostat that locks and holds it in position is called the box lock.,198567,0,TRUE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59850,6,The part of a hemostat that locks and holds it in position is called the box lock.,198568,1,FALSE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59851,7,"After applying instrument identification tape, instruments should be autoclaved to help the tape bond to the instrument.",198569,0,TRUE,1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59851,7,"After applying instrument identification tape, instruments should be autoclaved to help the tape bond to the instrument.",198570,1,FALSE,0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59852,8,Instrument marking tape should be wrapped approximately __________ around the instrument.,198571,0,"a.	1.5 times",1
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59852,8,Instrument marking tape should be wrapped approximately __________ around the instrument.,198572,1,"b.	Two times",0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59852,8,Instrument marking tape should be wrapped approximately __________ around the instrument.,198573,2,"c.	2.5 times",0
8890,Elearning-0000-177,SPD INTERNSHIP CHAPTER 10  SURGICAL INSTRUMENTATION,n13408,59852,8,Instrument marking tape should be wrapped approximately __________ around the instrument.,198574,3,"d.	Three times",0
