course_id,course_code,course_name
7963,AICC-0000-1281,"ONCOLOGY CERTIFIED NURSE (OCN) CERTIFICATION EXAM REVIEW COURSE APRIL 29 & 30, 2021"
7964,AICC-0000-1282,"ONCOLOGY CERTIFIED NURSE (OCN) CERTIFICATION EXAM REVIEW COURSE FEBRUARY 16 & 17, 2021"
7965,AICC-0000-1283,"ONCOLOGY CERTIFIED NURSE (OCN) CERTIFICATION EXAM REVIEW SEMINAR (SEPTEMBER 9 & 10, 2021)- A HYBRID LIVE/VIRTUAL WEBINAR EVENT!"
7966,AICC-0000-1284,ONCOLOGY RESIDENCY_SUMMER 2019- MAKE-UP DAY II
7967,AICC-0000-1285,OR NURSE ORIENTATION ALL CREATED DOCUMENTS
7968,AICC-0000-1286,OR NURSE ORIENTATION WEEK FOUR
7969,AICC-0000-1287,OR NURSE ORIENTATION WEEK ONE
7970,AICC-0000-1288,OR NURSE ORIENTATION WEEK THREE
7971,AICC-0000-1289,OR NURSE ORIENTATION WEEK TWO
7972,AICC-0000-1290,OR NURSE ORIENTATION
7973,AICC-0000-1291,PACED BOTTLE FEEDING
7974,AICC-0000-1292,PACU ASSESSMENT TEST
7975,AICC-0000-1293,POLICY WSU
7976,AICC-0000-1294,PRECEPTOR PROGRAM MATERIALS
7977,AICC-0000-1295,PRECEPTOR PROGRAM MATERIALS
7978,AICC-0000-1296,PRESSURE INJURY EDUCATION
7979,AICC-0000-1297,PROGRESSIVE CARE REGISTERED NURSE CERTIFICATION EXAM REVIEW (E-LEARNING MODULES & AACN VOUCHER)_2021
7980,AICC-0000-1298,RAJMA'S COURSE TEST #2
7981,AICC-0000-1299,RAJMA'S TEST
7982,AICC-0000-1300,RAJMA'S TEST #2
7983,AICC-0000-1301,RAJMA'S TEST #2
7984,AICC-0000-1302,RAJMA'S TEST COURSE
7985,AICC-0000-1303,RAJMA'S TESTS
7986,AICC-0000-1304,RESIDENCY DIDACTIC SERIES 2018 CLASS 6 PERIOP
7987,AICC-0000-1305,RESIDENCY DIDACTIC SERIES--CLASS 8
7988,AICC-0000-1306,RESIDENCY DIDACTICS 2018- CLASS EIGHT
7989,AICC-0000-1307,RESIDENCY DIDACTICS 2018- CLASS FIVE
7990,AICC-0000-1308,RESIDENCY DIDACTICS 2018- CLASS FOUR
7991,AICC-0000-1309,RESIDENCY DIDACTICS- CLASS FIVE
7992,AICC-0000-1310,RESIDENCY DIDACTICS- CLASS FOUR
7993,AICC-0000-1311,RESIDENCY DIDACTICS- CLASS FOUR
7994,AICC-0000-1312,RESIDENCY DIDACTICS- CLASS FIVE
7995,AICC-0000-1313,RESIDENCY DIDACTICS- CLASS FOUR
7996,AICC-0000-1314,RESIDENCY DIDACTICS- CLASS FOUR
7997,AICC-0000-1315,RESIDENCY DIDACTICS- CLASS FOUR
7998,AICC-0000-1316,RESIDENCY DIDACTICS- CLASS FOUR
7999,AICC-0000-1317,TEST 1_8422501
8000,AICC-0000-1318,TEST 2_8422500
8001,AICC-0000-1319,TEST 3_8422589
8002,AICC-0000-1320,TEST ACLS 09052018
8003,AICC-0000-1321,TREATMENT OF ENDOCRINE DISORDE
8004,AICC-0000-1322,VIDEOTEST
8005,AICC-0000-1323,VIDEOTEST-COPY
8006,AICC-0000-1324,VTE PROPHYLAXIS OVERVIEW_GWINN
8007,AICC-0000-1325,WHY TRANSPLANT ICU_BMT POS
8008,AICC-0000-1326,WSU HEPARIN IN-SERVICE
8009,AICC-0000-1327,WSU RAPID RESPONSE POLICY
8010,AICC-0000-1328,WSU RAPID RESPONSE POLICY
8011,AICC-0000-248,MOSBY'S PRECEPTOR 3.0: ROLE OF THE PRECEPTOR
8012,AICC-0000-249,MOSBY'S PRECEPTOR 3.0: NOVICE TO EXPERT CONTINUUM
8013,AICC-0000-250,MOSBY'S PRECEPTOR 3.0: PRECEPTEE ASSIGNMENTS AND TIME MANAGEMENT
8014,AICC-0000-251,MOSBY'S PRECEPTOR 3.0: THE PRECEPTEE LEARNING ENVIRONMENT
8015,AICC-0000-252,MOSBY'S PRECEPTOR 3.0: CULTURAL INFLUENCES AND DIVERSITY
8016,AICC-0000-253,MOSBY'S PRECEPTOR 3.0: NEGOTIATING CONFLICT
8017,AICC-0000-254,MOSBY'S PRECEPTOR 3.0: UNDERSTANDING CRITICAL THINKING
8018,AICC-0000-255,MOSBY'S PRECEPTOR 3.0: PROMOTING AND DEVELOPING CRITICAL THINKING
8019,AICC-0000-256,MOSBY'S PRECEPTOR 3.0: EFFECTIVE COMMUNICATION
8020,AICC-0000-257,MOSBY'S PRECEPTOR 3.0: ASSESSING AND SETTING GOALS
8021,AICC-0000-258,MOSBY'S PRECEPTOR 3.0: ADULT LEARNING PRINCIPLES
8022,AICC-0000-259,MOSBY'S PRECEPTOR 3.0: LEARNING STYLES
8023,AICC-0000-260,MOSBY'S PRECEPTOR 3.0: COACHING PLANS
8024,AICC-0000-261,MOSBY'S PRECEPTOR 3.0: DEVELOPING COMPETENCY
8025,AICC-0000-262,MOSBY'S PRECEPTOR 3.0: EVALUATING PERFORMANCE
8026,AICC-0000-263,MOSBY'S PRECEPTOR 3.0: PROVIDING EFFECTIVE FEEDBACK
8027,AICC-0000-264,MOSBY'S PRECEPTOR 3.0: OVERVIEW FOR COURSE PLANNERS
8028,AICC-0000-265,MOSBY'S PRECEPTOR 3.0: ROLE OF THE PRECEPTOR: PRECEPTOR ACTIVITY
8029,AICC-0000-266,MOSBY'S PRECEPTOR 3.0: NOVICE TO EXPERT CONTINUUM: PRECEPTOR ACTIVITY
8030,AICC-0000-267,MOSBY'S PRECEPTOR 3.0: PRECEPTEE ASSIGNMENTS AND TIME MANAGEMENT: PRECEPTOR ACTIVITY
8031,AICC-0000-268,MOSBY'S PRECEPTOR 3.0: THE PRECEPTEE LEARNING ENVIRONMENT: PRECEPTOR ACTIVITY
8032,AICC-0000-269,MOSBY'S PRECEPTOR 3.0: CULTURAL INFLUENCES AND DIVERSITY: PRECEPTOR ACTIVITY
8033,AICC-0000-270,MOSBY'S PRECEPTOR 3.0: NEGOTIATING CONFLICT: PRECEPTOR ACTIVITY
8034,AICC-0000-271,MOSBY'S PRECEPTOR 3.0: UNDERSTANDING CRITICAL THINKING: PRECEPTOR ACTIVITY
8035,AICC-0000-272,MOSBY'S PRECEPTOR 3.0: PROMOTING AND DEVELOPING CRITICAL THINKING: PRECEPTOR ACTIVITY
8036,AICC-0000-273,MOSBY'S PRECEPTOR 3.0: EFFECTIVE COMMUNICATION: PRECEPTOR ACTIVITY
8037,AICC-0000-274,MOSBY'S PRECEPTOR 3.0: ASSESSING AND SETTING GOALS: PRECEPTOR ACTIVITY
8038,AICC-0000-275,MOSBY'S PRECEPTOR 3.0: ADULT LEARNING PRINCIPLES: PRECEPTOR ACTIVITY
8039,AICC-0000-276,MOSBY'S PRECEPTOR 3.0: LEARNING STYLES: PRECEPTOR ACTIVITY
8040,AICC-0000-277,MOSBY'S PRECEPTOR 3.0: COACHING PLANS: PRECEPTOR ACTIVITY
8041,AICC-0000-278,MOSBY'S PRECEPTOR 3.0: DEVELOPING COMPETENCY: PRECEPTOR ACTIVITY
8042,AICC-0000-279,MOSBY'S PRECEPTOR 3.0: EVALUATING PERFORMANCE: PRECEPTOR ACTIVITY
8043,AICC-0000-280,MOSBY'S PRECEPTOR 3.0: PROVIDING EFFECTIVE FEEDBACK: PRECEPTOR ACTIVITY
8044,AICC-0000-281,MOSBY'S PRECEPTOR 3.0: ROLE OF THE PRECEPTOR: DISCUSSION ACTIVITY
8045,AICC-0000-282,MOSBY'S PRECEPTOR 3.0: NOVICE TO EXPERT CONTINUUM: DISCUSSION ACTIVITY
